"time","R0.i","R0.v","R1.i","R1.v"
0.285,0.0004975124234454852,0.4975124234454853,0.0004975124378827726,49.75124378827726
0.286,0.0004975124247219895,0.4975124247219895,0.0004975124378763901,49.75124378763901
0.287,0.0004975124259984937,0.4975124259984938,0.0004975124378700075,49.75124378700075
0.288,0.000497512427274998,0.497512427274998,0.000497512437863625,49.7512437863625
0.289,0.0004975124285515022,0.4975124285515022,0.0004975124378572425,49.75124378572425
0.29,0.0004975124298280065,0.4975124298280065,0.0004975124378508599,49.75124378508599
0.291,0.0004975124311045107,0.4975124311045107,0.0004975124378444774,49.75124378444774
0.292,0.000497512432381015,0.4975124323810149,0.000497512437838095,49.7512437838095
0.293,0.0004975124336575192,0.4975124336575192,0.0004975124378317124,49.75124378317124
0.294,0.0004975124349340235,0.4975124349340234,0.0004975124378253299,49.75124378253299
0.295,0.0004975124362105276,0.4975124362105277,0.0004975124378189474,49.75124378189474
0.296,0.0004975124365690818,0.4975124365690817,0.0004975124378171547,49.75124378171547
0.297,0.0004975124366072521,0.4975124366072521,0.0004975124378169638,49.75124378169637
0.298,0.0004975124366454225,0.4975124366454224,0.0004975124378167729,49.7512437816773
0.299,0.0004975124366835786,0.4975124366835786,0.0004975124378165821,49.75124378165821
0.3,0.0004975124367217489,0.4975124367217489,0.0004975124378163912,49.75124378163912
0.301,0.0004975124367599193,0.4975124367599193,0.0004975124378162004,49.75124378162004
0.302,0.0004975124367980896,0.4975124367980897,0.0004975124378160096,49.75124378160096
0.303,0.00049751243683626,0.49751243683626,0.0004975124378158187,49.75124378158187
0.304,0.0004975124368744304,0.4975124368744304,0.0004975124378156279,49.75124378156279
0.305,0.0004975124369126007,0.4975124369126007,0.000497512437815437,49.7512437815437
0.306,0.0004975124369507569,0.4975124369507569,0.0004975124378152463,49.75124378152463
0.307,0.0004975124369889272,0.4975124369889272,0.0004975124378150555,49.75124378150554
0.308,0.0004975124370270975,0.4975124370270976,0.0004975124378148645,49.75124378148645
0.309,0.000497512437065268,0.4975124370652679,0.0004975124378146737,49.75124378146737
0.31,0.0004975124371034383,0.4975124371034383,0.0004975124378144829,49.75124378144829
0.311,0.0004975124371416087,0.4975124371416086,0.000497512437814292,49.7512437814292
0.312,0.0004975124371797648,0.4975124371797648,0.0004975124378141011,49.75124378141011
0.313,0.0004975124372179351,0.4975124372179351,0.0004975124378139103,49.75124378139103
0.314,0.0004975124372561055,0.4975124372561055,0.0004975124378137195,49.75124378137195
0.315,0.0004975124372942759,0.4975124372942759,0.0004975124378135286,49.75124378135285
0.316,0.0004975124373324462,0.4975124373324462,0.0004975124378133378,49.75124378133378
0.317,0.0004975124373706166,0.4975124373706166,0.0004975124378131469,49.75124378131469
0.318,0.0004975124374087727,0.4975124374087727,0.0004975124378129562,49.75124378129562
0.319,0.0004975124374469431,0.4975124374469431,0.0004975124378127653,49.75124378127653
0.32,0.0004975124374851134,0.4975124374851134,0.0004975124378125745,49.75124378125745
0.321,0.0004975124375232837,0.4975124375232838,0.0004975124378123837,49.75124378123837
0.322,0.0004975124375614542,0.4975124375614541,0.0004975124378121927,49.75124378121927
0.323,0.0004975124375996245,0.4975124375996245,0.0004975124378120019,49.75124378120019
0.324,0.0004975124376377806,0.4975124376377806,0.0004975124378118111,49.75124378118111
0.325,0.000497512437675951,0.497512437675951,0.0004975124378116203,49.75124378116202
0.326,0.0004975124377141213,0.4975124377141213,0.0004975124378114293,49.75124378114293
0.327,0.0004975124377522917,0.4975124377522917,0.0004975124378112385,49.75124378112385
